#1.3																																			
494	34	1	11																																
id	ppName	20087-50060-10008-nan	20088-50060-10029-nan	20089-50060-10046-nan	20090-50060-10049-nan	20091-50060-10050-nan	20092-50060-10068-nan	20093-50060-10017-10	20094-50061-10079-10	20095-50061-10080-10	20097-50061-10086-10	20097-50454-10086-10	20098-50061-10087-10	20098-50454-10087-10	20099-50061-10091-10	20099-50454-10091-10	20100-50061-10092-10	20100-50454-10092-10	20101-50061-10093-10	20101-50454-10093-10	20102-50061-10094-10	20102-50454-10094-10	20103-50061-10106-10	20103-50454-10106-10	20104-50454-10200-0.05	20104-50454-10200-0.5	20104-50454-10200-5	20105-50061-10201-10	20106-50061-10070-10	20106-50454-10070-10	20204-51097-10075-1	20206-50811-10129-1	20207-51099-10188-1	20209-50335-10337-1	20210-50811-10351-1
clName	na	A-375	A-375	A-375	A-375	A-375	A-375	A-375	HeLa	HeLa	HeLa	PC-3	HeLa	PC-3	HeLa	PC-3	HeLa	PC-3	HeLa	PC-3	HeLa	PC-3	HeLa	PC-3	PC-3	PC-3	PC-3	HeLa	HeLa	PC-3	BCWM.1	Ramos (RA 1)	NGP	MDA-MB-468	Ramos (RA 1)
concUnit	na	uM	uM	uM	uM	uM	uM	uM	uM	uM	uM	uM	uM	uM	uM	uM	uM	uM	uM	uM	uM	uM	uM	uM	uM	uM	uM	uM	uM	uM	uM	uM	uM	uM	uM
smCenterCompoundID	na	10008	10029	10046	10049	10050	10068	10017	10079	10080	10086	10086	10087	10087	10091	10091	10092	10092	10093	10093	10094	10094	10106	10106	10200	10200	10200	10201	10070	10070	10075	10129	10188	10337	10351
smSalt	na	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	102	101
assayCompoundConcentration	na	nan	nan	nan	nan	nan	nan	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	0.05	0.5	5	10	10	10	1	1	1	1	1
clCenterSpecificID	na	50060	50060	50060	50060	50060	50060	50060	50061	50061	50061	50454	50061	50454	50061	50454	50061	50454	50061	50454	50061	50454	50061	50454	50454	50454	50454	50061	50061	50454	51097	50811	51099	50335	50811
smLincsID	na	LSM-1008	LSM-1029	LSM-1046	LSM-1049	LSM-1050	LSM-1068	LSM-6015	LSM-1079	LSM-1080	LSM-1086	LSM-1086	LSM-5577	LSM-5577	LSM-6299	LSM-6299	LSM-1092	LSM-1092	LSM-1093	LSM-1093	LSM-1094	LSM-1094	LSM-1106	LSM-1106	LSM-1201	LSM-1201	LSM-1201	LSM-1202	LSM-1070	LSM-1070	LSM-5803	LSM-1129	LSM-1189	LSM-6340	LSM-6708
smName	na	Sorafenib	GW-5074	SB590885	PLX-4720	AZ-628	PLX4032	HG-6-64-01	Torin1	Torin2	XMD11-50	XMD11-50	XMD11-85h	XMD11-85h	XMD16-144	XMD16-144	JWE-035	JWE-035	XMD8-85	XMD8-85	XMD8-92	XMD8-92	XMD-12	XMD-12	NVP-BHG712	NVP-BHG712	NVP-BHG712	CH5424802	NPK76-II-72-1	NPK76-II-72-1	QL-X-138	Ibrutinib	BX795	OTSSP167	DCC-2036
id	na	20087-50060-10008-nan	20088-50060-10029-nan	20089-50060-10046-nan	20090-50060-10049-nan	20091-50060-10050-nan	20092-50060-10068-nan	20093-50060-10017-10	20094-50061-10079-10	20095-50061-10080-10	20097-50061-10086-10	20097-50454-10086-10	20098-50061-10087-10	20098-50454-10087-10	20099-50061-10091-10	20099-50454-10091-10	20100-50061-10092-10	20100-50454-10092-10	20101-50061-10093-10	20101-50454-10093-10	20102-50061-10094-10	20102-50454-10094-10	20103-50061-10106-10	20103-50454-10106-10	20104-50454-10200-0.05	20104-50454-10200-0.5	20104-50454-10200-5	20105-50061-10201-10	20106-50061-10070-10	20106-50454-10070-10	20204-51097-10075-1	20206-50811-10129-1	20207-51099-10188-1	20209-50335-10337-1	20210-50811-10351-1
smCenterSampleID	na	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
