	('meanTotalCellCountBeforeTreatment 0',)	('meanTotalCellCountAfterTreatment 1',)	('meanTotalControlCellCount 2',)	('meanRelativeCellCountAfterTreatment 3',)	('meanRelativeGrowthRateAfterTreatment 4',)
('326716 0', 'smSalt: 101', 'smName: Afatinib', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	3050.0	3970.0	0.76825	0.65092
('326717 1', 'smSalt: 101', 'smName: Sigma A6730', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	3511.0	3970.0	0.88426	0.82567
('326718 2', 'smSalt: 101', 'smName: Flavopiridol', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	2841.0	3970.0	0.71554	0.57152
('326719 3', 'smSalt: 101', 'smName: AT-7519', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	3747.0	3970.0	0.94378	0.91532
('326720 4', 'smSalt: 101', 'smName: AZD 5438', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	3748.0	3970.0	0.94403	0.9157
('326721 5', 'smSalt: 101', 'smName: AZD-6482', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	4128.0	3970.0	1.0396	1.0596
('326722 6', 'smSalt: 101', 'smName: AZD7762', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	4096.0	3970.0	1.0315	1.0475
('326723 7', 'smSalt: 101', 'smName: AZD8055', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	2367.0	3970.0	0.59617	0.39172
('326724 8', 'smSalt: 101', 'smName: AZD8330', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	3067.0	3970.0	0.77245	0.65725
('326725 9', 'smSalt: 101', 'smName: AZD1152-HQPA', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	3344.0	3970.0	0.84229	0.76245
('326726 10', 'smSalt: 101', 'smName: BI-2536', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	687.0	3970.0	0.17309	-0.24556
('326727 11', 'smSalt: 102', 'smName: BMS345541', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	4026.0	3970.0	1.014	1.021
('326728 12', 'smSalt: 101', 'smName: BMS-387032', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	3780.0	3970.0	0.95209	0.92784
('326729 13', 'smSalt: 101', 'smName: GDC-0980', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	2403.0	3970.0	0.60523	0.40537
('326730 14', 'smSalt: 101', 'smName: NVP-AEW541', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	4135.0	3970.0	1.0415	1.0625
('326731 15', 'smSalt: 101', 'smName: SB590885', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	4237.0	3970.0	1.0671	1.1011
('326732 16', 'smSalt: 101', 'smName: PIK-93', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	4133.0	3970.0	1.041	1.0617
('326733 17', 'smSalt: 101', 'smName: KIN001-043', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	3878.0	3970.0	0.97677	0.96501
('326734 18', 'smSalt: 101', 'smName: BYL719', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	4126.0	3970.0	1.0391	1.059
('326735 19', 'smSalt: 101', 'smName: NVP-AUY922', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	980.0	3970.0	0.24688	-0.13441
('326736 20', 'smSalt: 101', 'smName: A443654', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	3139.0	3970.0	0.79067	0.68469
('326737 21', 'smSalt: 102', 'smName: OSI-027', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	4032.0	3970.0	1.0155	1.0233
('326738 22', 'smSalt: 101', 'smName: XMD11-85h', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	3366.0	3970.0	0.84783	0.77079
('326739 23', 'smSalt: 101', 'smName: HG-6-64-01', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	4333.0	3970.0	1.0912	1.1374
('326740 24', 'smSalt: 101', 'smName: WH-4-025', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	3860.0	3970.0	0.97207	0.95793
('326741 25', 'smSalt: 101', 'smName: WZ-4-145', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	3309.0	3970.0	0.83339	0.74904
('326742 26', 'smSalt: 101', 'smName: XMD16-144', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	3824.0	3970.0	0.96317	0.94453
('326743 27', 'smSalt: 101', 'smName: Brivanib', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	4008.0	3970.0	1.0093	1.0141
('326744 28', 'smSalt: 101', 'smName: NVP-BKM120', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	4150.0	3970.0	1.0451	1.0679
('326745 29', 'smSalt: 101', 'smName: BX-912', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	3739.0	3970.0	0.94168	0.91216
('326746 30', 'smSalt: 102', 'smName: Canertinib', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	3494.0	3970.0	0.88007	0.81935
('326747 31', 'smSalt: 101', 'smName: Celastrol', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	4023.0	3970.0	1.0132	1.0199
('326748 32', 'smSalt: 101', 'smName: CGP60474', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	3530.0	3970.0	0.88905	0.83288
('326749 33', 'smSalt: 101', 'smName: CGP60474', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	782.0	3970.0	0.19693	-0.20965
('326750 34', 'smSalt: 101', 'smName: CHIR-99021', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	3515.0	3970.0	0.88527	0.82719
('326751 35', 'smSalt: 101', 'smName: CP724714', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	3801.0	3970.0	0.95721	0.93555
('326752 36', 'smSalt: 101', 'smName: CP466722', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	4240.0	3970.0	1.0678	1.1022
('326753 37', 'smSalt: 101', 'smName: Crizotinib', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	3325.0	3970.0	0.83742	0.75511
('326754 38', 'smSalt: 101', 'smName: CYT387', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	3991.0	3970.0	1.0051	1.0077
('326755 39', 'smSalt: 101', 'smName: Dasatinib', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	3455.0	3970.0	0.87008	0.8043
('326756 40', 'smSalt: 101', 'smName: Dasatinib', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	2913.0	3970.0	0.73367	0.59883
('326757 41', 'smSalt: 101', 'smName: Dovitinib', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	3395.0	3970.0	0.85497	0.78154
('326758 42', 'smSalt: 101', 'smName: Enzastaurin', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	3740.0	3970.0	0.94193	0.91254
('326759 43', 'smSalt: 101', 'smName: Erlotinib', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	3679.0	3970.0	0.92666	0.88952
('326760 44', 'smSalt: 101', 'smName: Foretinib', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	3950.0	3970.0	0.99482	0.99219
('326761 45', 'smSalt: 101', 'smName: R406', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	3713.0	3970.0	0.93513	0.90229
('326762 46', 'smSalt: 101', 'smName: GDC-0941', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	3004.0	3970.0	0.75659	0.63335
('326763 47', 'smSalt: 101', 'smName: Gefitinib', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	4187.0	3970.0	1.0546	1.0822
('326764 48', 'smSalt: 101', 'smName: Geldanamycin', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	1781.0	3970.0	0.4486	0.16943
('326765 49', 'smSalt: 101', 'smName: Geldanamycin', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	2191.0	3970.0	0.55193	0.32508
('326766 50', 'smSalt: 101', 'smName: GSK1059615', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	4146.0	3970.0	1.0441	1.0664
('326767 51', 'smSalt: 101', 'smName: GSK1059615', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	3858.0	3970.0	0.97165	0.9573
('326768 52', 'smSalt: 101', 'smName: GSK1904529A', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	3236.0	3970.0	0.81493	0.72123
('326769 53', 'smSalt: 101', 'smName: GSK2126458', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	1179.0	3970.0	0.29699	-0.058926
('326770 54', 'smSalt: 101', 'smName: GSK 690693', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	3452.0	3970.0	0.86932	0.80316
('326771 55', 'smSalt: 101', 'smName: GW843682', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	3587.0	3970.0	0.9034	0.8545
('326772 56', 'smSalt: 101', 'smName: HG-5-113-01', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	3806.0	3970.0	0.95847	0.93744
