	('totalCellCountBeforeTreatment 0',)	('totalCellCountAfterTreatment 1',)	('totalControlCellCount 2',)	('relativeCellCountAfterTreatment 3',)	('relativeGrowthRateAfterTreatment 4',)
('Afatinib 0', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: G24')	1657.0	3973.0	5505.0	0.72162	0.60169
('Afatinib 1', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: G24')	1657.0	4132.0	5505.0	0.7505	0.64301
('Afatinib 2', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: G24')	1657.0	3836.0	5505.0	0.69674	0.56609
('Sigma A6730 3', 'smCenterCompoundID: 10035', 'smSalt: 101', 'smLincsID: LSM-1035', 'smName: Sigma A6730', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: B24')	1657.0	4934.0	5505.0	0.89617	0.85144
('Sigma A6730 4', 'smCenterCompoundID: 10035', 'smSalt: 101', 'smLincsID: LSM-1035', 'smName: Sigma A6730', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: B24')	1657.0	4829.0	5505.0	0.8771	0.82415
('Sigma A6730 5', 'smCenterCompoundID: 10035', 'smSalt: 101', 'smLincsID: LSM-1035', 'smName: Sigma A6730', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: B24')	1657.0	4967.0	5505.0	0.90216	0.86001
('Flavopiridol 6', 'smCenterCompoundID: 10011', 'smSalt: 101', 'smLincsID: LSM-1011', 'smName: Flavopiridol', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: A18')	1657.0	2747.0	5505.0	0.49894	0.28308
('Flavopiridol 7', 'smCenterCompoundID: 10011', 'smSalt: 101', 'smLincsID: LSM-1011', 'smName: Flavopiridol', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: A18')	1657.0	2746.0	5505.0	0.49876	0.28282
('Flavopiridol 8', 'smCenterCompoundID: 10011', 'smSalt: 101', 'smLincsID: LSM-1011', 'smName: Flavopiridol', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: A18')	1657.0	2903.0	5505.0	0.52727	0.32362
('AT-7519 9', 'smCenterCompoundID: 10004', 'smSalt: 101', 'smLincsID: LSM-1004', 'smName: AT-7519', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: K06')	1657.0	5160.0	5505.0	0.93722	0.91017
