	('cellCount 0',)	('percentApoptoticCells 1',)
('319 0', 'recordedWell: C03', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 33.33333333')	576.0	60.59
('320 1', 'recordedWell: C03', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 33.33333333')	373.0	79.088
('321 2', 'recordedWell: C03', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 33.33333333')	436.0	56.193
('322 3', 'recordedWell: C04', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	654.0	43.884
('323 4', 'recordedWell: C04', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	284.0	58.099
('324 5', 'recordedWell: C04', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	574.0	41.812
('325 6', 'recordedWell: C05', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 33.33333333')	574.0	65.505
('326 7', 'recordedWell: C05', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 33.33333333')	378.0	73.545
('327 8', 'recordedWell: C05', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 33.33333333')	453.0	64.459
('328 9', 'recordedWell: C06', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 33.33333333')	429.0	75.991
('329 10', 'recordedWell: C06', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 33.33333333')	296.0	96.622
('330 11', 'recordedWell: C06', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 33.33333333')	339.0	85.546
('331 12', 'recordedWell: C07', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 0.045726667')	571.0	35.377
('332 13', 'recordedWell: C07', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 0.045726667')	734.0	28.202
('333 14', 'recordedWell: C07', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 0.045726667')	254.0	48.425
('334 15', 'recordedWell: C08', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 33.33333333')	324.0	62.346
('335 16', 'recordedWell: C08', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 33.33333333')	291.0	87.973
('336 17', 'recordedWell: C08', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 33.33333333')	272.0	87.5
('337 18', 'recordedWell: C09', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 0.045726667')	680.0	20.294
('338 19', 'recordedWell: C09', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 0.045726667')	855.0	25.263
('339 20', 'recordedWell: C09', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 0.045726667')	315.0	34.603
('340 21', 'recordedWell: C10', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 0.045726667')	456.0	39.912
('341 22', 'recordedWell: C10', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 0.045726667')	268.0	82.463
('342 23', 'recordedWell: C10', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 0.045726667')	235.0	50.213
('343 24', 'recordedWell: C11', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	1205.0	7.3859
('344 25', 'recordedWell: C11', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	998.0	15.03
('345 26', 'recordedWell: C11', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	338.0	44.675
('346 27', 'recordedWell: C12', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 0.045726667')	406.0	45.32
('347 28', 'recordedWell: C12', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 0.045726667')	198.0	82.828
('348 29', 'recordedWell: C12', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 0.045726667')	357.0	54.902
('349 30', 'recordedWell: C13', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 11.11111333')	890.0	21.91
('350 31', 'recordedWell: C13', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 11.11111333')	503.0	41.153
('351 32', 'recordedWell: C13', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 11.11111333')	490.0	35.714
('352 33', 'recordedWell: C14', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	727.0	11.004
('353 34', 'recordedWell: C14', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	1533.0	13.633
('354 35', 'recordedWell: C14', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	345.0	38.841
