	('meanTotalCellCountBeforeTreatment 0',)	('meanTotalCellCountAfterTreatment 1',)	('meanTotalControlCellCount 2',)	('meanRelativeCellCount 3',)	('meanNormalizedGrowthRateInhibitionValue 4',)
('482370 0', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10001', 'smallmolecule_smLincsID: LSM-1001', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1209.0	4445.0	4203.0	1.0582	1.064
('482371 1', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10001', 'smallmolecule_smLincsID: LSM-1001', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	1209.0	4189.0	4203.0	0.99827	0.99904
('482372 2', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10001', 'smallmolecule_smLincsID: LSM-1001', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	1209.0	3931.0	4203.0	0.93565	0.92725
('482373 3', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10001', 'smallmolecule_smLincsID: LSM-1001', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5')	1209.0	3350.0	4203.0	0.79735	0.7628
('482374 4', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10001', 'smallmolecule_smLincsID: LSM-1001', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	1209.0	3016.0	4203.0	0.71836	0.66373
('482375 5', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10001', 'smallmolecule_smLincsID: LSM-1001', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5')	1209.0	1223.0	4203.0	0.29076	0.0046618
('482376 6', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10004', 'smallmolecule_smLincsID: LSM-1004', 'smallmolecule_smName: AT-7519', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1209.0	1716.0	4012.0	0.42632	0.21888
('482377 7', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10004', 'smallmolecule_smLincsID: LSM-1004', 'smallmolecule_smName: AT-7519', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1209.0	653.0	4012.0	0.16211	-0.30297
('482378 8', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10004', 'smallmolecule_smLincsID: LSM-1004', 'smallmolecule_smName: AT-7519', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	1209.0	604.0	4012.0	0.15066	-0.33089
('482379 9', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10004', 'smallmolecule_smLincsID: LSM-1004', 'smallmolecule_smName: AT-7519', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	1209.0	591.0	4012.0	0.14715	-0.34067
