	('averageVIPScore 0',)
('191312 0', 'clName: C32', 'timePoint: 1', 'variable: p-p90RSK(S380)')	
('191313 1', 'clName: C32', 'timePoint: 1', 'variable: p-p90RSK(T573)')	-0.083785
('191314 2', 'clName: C32', 'timePoint: 1', 'variable: p-AKT(T308)')	-0.30089
('191315 3', 'clName: C32', 'timePoint: 1', 'variable: p-AKT(S473)')	-0.76446
('191316 4', 'clName: C32', 'timePoint: 1', 'variable: p-mTOR(S2448)')	
('191317 5', 'clName: C32', 'timePoint: 1', 'variable: p-p70S6K(T421/S424)')	0.32858
('191318 6', 'clName: C32', 'timePoint: 1', 'variable: p-p70S6K(T389)')	
('191319 7', 'clName: C32', 'timePoint: 1', 'variable: p-S6(S235/236)')	0.39171
('191320 8', 'clName: C32', 'timePoint: 1', 'variable: p-AMPK(T172)')	-0.33118
('191321 9', 'clName: C32', 'timePoint: 1', 'variable: p-JNK(T183/Y185)')	0.25916
('191322 10', 'clName: C32', 'timePoint: 1', 'variable: Total c-Jun')	0.32059
('191323 11', 'clName: C32', 'timePoint: 1', 'variable: p-cJun(S63)')	
('191324 12', 'clName: C32', 'timePoint: 1', 'variable: p-P38(T180/Y182)')	0.58661
('191325 13', 'clName: C32', 'timePoint: 1', 'variable: p-HSP27(S82)')	
('191326 14', 'clName: C32', 'timePoint: 1', 'variable: p-NFKB(S536)')	0.37812
('191327 15', 'clName: C32', 'timePoint: 1', 'variable: Bim')	-0.066807
('191328 16', 'clName: C32', 'timePoint: 1', 'variable: cPARP')	0.30901
('191329 17', 'clName: C32', 'timePoint: 1', 'variable: p-Histone H3(S10)')	-0.15771
('191330 18', 'clName: C32', 'timePoint: 1', 'variable: p27 Kip1')	0.018919
('191331 19', 'clName: C32', 'timePoint: 5', 'variable: p-p90RSK(S380)')	
('191332 20', 'clName: C32', 'timePoint: 5', 'variable: p-p90RSK(T573)')	-0.42106
('191333 21', 'clName: C32', 'timePoint: 5', 'variable: p-AKT(T308)')	-0.60889
('191334 22', 'clName: C32', 'timePoint: 5', 'variable: p-AKT(S473)')	-1.0263
('191335 23', 'clName: C32', 'timePoint: 5', 'variable: p-mTOR(S2448)')	
('191336 24', 'clName: C32', 'timePoint: 5', 'variable: p-p70S6K(T421/S424)')	0.34501
('191337 25', 'clName: C32', 'timePoint: 5', 'variable: p-p70S6K(T389)')	
('191338 26', 'clName: C32', 'timePoint: 5', 'variable: p-S6(S235/236)')	0.80421
('191339 27', 'clName: C32', 'timePoint: 5', 'variable: p-AMPK(T172)')	-0.49728
('191340 28', 'clName: C32', 'timePoint: 5', 'variable: p-JNK(T183/Y185)')	-0.33016
('191341 29', 'clName: C32', 'timePoint: 5', 'variable: Total c-Jun')	1.0783
('191342 30', 'clName: C32', 'timePoint: 5', 'variable: p-cJun(S63)')	
('191343 31', 'clName: C32', 'timePoint: 5', 'variable: p-P38(T180/Y182)')	-0.47396
('191344 32', 'clName: C32', 'timePoint: 5', 'variable: p-HSP27(S82)')	
('191345 33', 'clName: C32', 'timePoint: 5', 'variable: p-NFKB(S536)')	0.64144
('191346 34', 'clName: C32', 'timePoint: 5', 'variable: Bim')	-0.72875
('191347 35', 'clName: C32', 'timePoint: 5', 'variable: cPARP')	0.10205
('191348 36', 'clName: C32', 'timePoint: 5', 'variable: p-Histone H3(S10)')	-0.33609
('191349 37', 'clName: C32', 'timePoint: 5', 'variable: p27 Kip1')	-0.36568
('191350 38', 'clName: C32', 'timePoint: 10', 'variable: p-p90RSK(S380)')	
('191351 39', 'clName: C32', 'timePoint: 10', 'variable: p-p90RSK(T573)')	-0.32086
('191352 40', 'clName: C32', 'timePoint: 10', 'variable: p-AKT(T308)')	-0.73599
('191353 41', 'clName: C32', 'timePoint: 10', 'variable: p-AKT(S473)')	-1.0779
('191354 42', 'clName: C32', 'timePoint: 10', 'variable: p-mTOR(S2448)')	
('191355 43', 'clName: C32', 'timePoint: 10', 'variable: p-p70S6K(T421/S424)')	0.53232
('191356 44', 'clName: C32', 'timePoint: 10', 'variable: p-p70S6K(T389)')	
('191357 45', 'clName: C32', 'timePoint: 10', 'variable: p-S6(S235/236)')	1.0221
('191358 46', 'clName: C32', 'timePoint: 10', 'variable: p-AMPK(T172)')	-0.33165
('191359 47', 'clName: C32', 'timePoint: 10', 'variable: p-JNK(T183/Y185)')	-0.23631
('191360 48', 'clName: C32', 'timePoint: 10', 'variable: Total c-Jun')	1.8229
('191361 49', 'clName: C32', 'timePoint: 10', 'variable: p-cJun(S63)')	
('191362 50', 'clName: C32', 'timePoint: 10', 'variable: p-P38(T180/Y182)')	-0.2397
('191363 51', 'clName: C32', 'timePoint: 10', 'variable: p-HSP27(S82)')	
('191364 52', 'clName: C32', 'timePoint: 10', 'variable: p-NFKB(S536)')	0.72615
('191365 53', 'clName: C32', 'timePoint: 10', 'variable: Bim')	-0.70591
('191366 54', 'clName: C32', 'timePoint: 10', 'variable: cPARP')	-0.2144
('191367 55', 'clName: C32', 'timePoint: 10', 'variable: p-Histone H3(S10)')	-0.29139
('191368 56', 'clName: C32', 'timePoint: 10', 'variable: p27 Kip1')	-0.77624
('191369 57', 'clName: C32', 'timePoint: 24', 'variable: p-p90RSK(S380)')	
('191370 58', 'clName: C32', 'timePoint: 24', 'variable: p-p90RSK(T573)')	0.37544
('191371 59', 'clName: C32', 'timePoint: 24', 'variable: p-AKT(T308)')	-1.208
('191372 60', 'clName: C32', 'timePoint: 24', 'variable: p-AKT(S473)')	-1.0008
('191373 61', 'clName: C32', 'timePoint: 24', 'variable: p-mTOR(S2448)')	
('191374 62', 'clName: C32', 'timePoint: 24', 'variable: p-p70S6K(T421/S424)')	1.398
('191375 63', 'clName: C32', 'timePoint: 24', 'variable: p-p70S6K(T389)')	
