	('measuredProteinValue 0',)
(' 0', 'clName: 184B5', 'ppName: BTC', 'proteinLigandConcentration: 1', 'time: 10', 'measuredProtein: pAkt')	656.7466244
(' 1', 'clName: 184B5', 'ppName: BTC', 'proteinLigandConcentration: 100', 'time: 10', 'measuredProtein: pAkt')	1116.410713
(' 2', 'clName: 184B5', 'ppName: BTC', 'proteinLigandConcentration: 1', 'time: 30', 'measuredProtein: pAkt')	451.3788989
(' 3', 'clName: 184B5', 'ppName: BTC', 'proteinLigandConcentration: 100', 'time: 30', 'measuredProtein: pAkt')	806.3023199
(' 4', 'clName: 184B5', 'ppName: BTC', 'proteinLigandConcentration: 1', 'time: 90', 'measuredProtein: pAkt')	484.8124708
(' 5', 'clName: 184B5', 'ppName: BTC', 'proteinLigandConcentration: 100', 'time: 90', 'measuredProtein: pAkt')	599.1482824
(' 6', 'clName: 184B5', 'ppName: BTC', 'proteinLigandConcentration: 1', 'time: 10', 'measuredProtein: pErk')	3502.931553
(' 7', 'clName: 184B5', 'ppName: BTC', 'proteinLigandConcentration: 100', 'time: 10', 'measuredProtein: pErk')	5317.280698
(' 8', 'clName: 184B5', 'ppName: BTC', 'proteinLigandConcentration: 1', 'time: 30', 'measuredProtein: pErk')	3617.437422
(' 9', 'clName: 184B5', 'ppName: BTC', 'proteinLigandConcentration: 100', 'time: 30', 'measuredProtein: pErk')	4370.673364
(' 10', 'clName: 184B5', 'ppName: BTC', 'proteinLigandConcentration: 1', 'time: 90', 'measuredProtein: pErk')	3261.309777
(' 11', 'clName: 184B5', 'ppName: BTC', 'proteinLigandConcentration: 100', 'time: 90', 'measuredProtein: pErk')	2059.906601
(' 12', 'clName: 184B5', 'ppName: BTC', 'proteinLigandConcentration: 1', 'time: 10', 'measuredProtein: pJnk')	67.92464284
(' 13', 'clName: 184B5', 'ppName: BTC', 'proteinLigandConcentration: 100', 'time: 10', 'measuredProtein: pJnk')	75.24326686
(' 14', 'clName: 184B5', 'ppName: BTC', 'proteinLigandConcentration: 1', 'time: 30', 'measuredProtein: pJnk')	64.93436993
(' 15', 'clName: 184B5', 'ppName: BTC', 'proteinLigandConcentration: 100', 'time: 30', 'measuredProtein: pJnk')	53.59161165
(' 16', 'clName: 184B5', 'ppName: BTC', 'proteinLigandConcentration: 1', 'time: 90', 'measuredProtein: pJnk')	62.97977976
(' 17', 'clName: 184B5', 'ppName: BTC', 'proteinLigandConcentration: 100', 'time: 90', 'measuredProtein: pJnk')	68.80870714
(' 18', 'clName: 184B5', 'ppName: BTC', 'proteinLigandConcentration: 1', 'time: 10', 'measuredProtein: pP38')	216.383846
(' 19', 'clName: 184B5', 'ppName: BTC', 'proteinLigandConcentration: 100', 'time: 10', 'measuredProtein: pP38')	272.6472587
(' 20', 'clName: 184B5', 'ppName: BTC', 'proteinLigandConcentration: 1', 'time: 30', 'measuredProtein: pP38')	220.1723384
(' 21', 'clName: 184B5', 'ppName: BTC', 'proteinLigandConcentration: 100', 'time: 30', 'measuredProtein: pP38')	233.5979191
(' 22', 'clName: 184B5', 'ppName: BTC', 'proteinLigandConcentration: 1', 'time: 90', 'measuredProtein: pP38')	198.018628
(' 23', 'clName: 184B5', 'ppName: BTC', 'proteinLigandConcentration: 100', 'time: 90', 'measuredProtein: pP38')	215.7541211
(' 24', 'clName: 184B5', 'ppName: EFNA1', 'proteinLigandConcentration: 1', 'time: 10', 'measuredProtein: pAkt')	371.8500642
(' 25', 'clName: 184B5', 'ppName: EFNA1', 'proteinLigandConcentration: 100', 'time: 10', 'measuredProtein: pAkt')	358.1483239
(' 26', 'clName: 184B5', 'ppName: EFNA1', 'proteinLigandConcentration: 1', 'time: 30', 'measuredProtein: pAkt')	404.6163936
(' 27', 'clName: 184B5', 'ppName: EFNA1', 'proteinLigandConcentration: 100', 'time: 30', 'measuredProtein: pAkt')	368.4042268
(' 28', 'clName: 184B5', 'ppName: EFNA1', 'proteinLigandConcentration: 1', 'time: 90', 'measuredProtein: pAkt')	399.0945102
(' 29', 'clName: 184B5', 'ppName: EFNA1', 'proteinLigandConcentration: 100', 'time: 90', 'measuredProtein: pAkt')	415.7434987
(' 30', 'clName: 184B5', 'ppName: EFNA1', 'proteinLigandConcentration: 1', 'time: 10', 'measuredProtein: pErk')	1237.677735
(' 31', 'clName: 184B5', 'ppName: EFNA1', 'proteinLigandConcentration: 100', 'time: 10', 'measuredProtein: pErk')	1187.590284
(' 32', 'clName: 184B5', 'ppName: EFNA1', 'proteinLigandConcentration: 1', 'time: 30', 'measuredProtein: pErk')	1233.866162
(' 33', 'clName: 184B5', 'ppName: EFNA1', 'proteinLigandConcentration: 100', 'time: 30', 'measuredProtein: pErk')	1093.28628
(' 34', 'clName: 184B5', 'ppName: EFNA1', 'proteinLigandConcentration: 1', 'time: 90', 'measuredProtein: pErk')	1269.304735
(' 35', 'clName: 184B5', 'ppName: EFNA1', 'proteinLigandConcentration: 100', 'time: 90', 'measuredProtein: pErk')	1402.010475
(' 36', 'clName: 184B5', 'ppName: EFNA1', 'proteinLigandConcentration: 1', 'time: 10', 'measuredProtein: pJnk')	129.700375
(' 37', 'clName: 184B5', 'ppName: EFNA1', 'proteinLigandConcentration: 100', 'time: 10', 'measuredProtein: pJnk')	73.008006
(' 38', 'clName: 184B5', 'ppName: EFNA1', 'proteinLigandConcentration: 1', 'time: 30', 'measuredProtein: pJnk')	66.71799199
(' 39', 'clName: 184B5', 'ppName: EFNA1', 'proteinLigandConcentration: 100', 'time: 30', 'measuredProtein: pJnk')	61.07170787
(' 40', 'clName: 184B5', 'ppName: EFNA1', 'proteinLigandConcentration: 1', 'time: 90', 'measuredProtein: pJnk')	63.30405192
(' 41', 'clName: 184B5', 'ppName: EFNA1', 'proteinLigandConcentration: 100', 'time: 90', 'measuredProtein: pJnk')	84.04372929
(' 42', 'clName: 184B5', 'ppName: EFNA1', 'proteinLigandConcentration: 1', 'time: 10', 'measuredProtein: pP38')	184.2248163
(' 43', 'clName: 184B5', 'ppName: EFNA1', 'proteinLigandConcentration: 100', 'time: 10', 'measuredProtein: pP38')	195.2128984
(' 44', 'clName: 184B5', 'ppName: EFNA1', 'proteinLigandConcentration: 1', 'time: 30', 'measuredProtein: pP38')	199.9224402
(' 45', 'clName: 184B5', 'ppName: EFNA1', 'proteinLigandConcentration: 100', 'time: 30', 'measuredProtein: pP38')	203.1727212
(' 46', 'clName: 184B5', 'ppName: EFNA1', 'proteinLigandConcentration: 1', 'time: 90', 'measuredProtein: pP38')	201.6878427
(' 47', 'clName: 184B5', 'ppName: EFNA1', 'proteinLigandConcentration: 100', 'time: 90', 'measuredProtein: pP38')	212.566337
(' 48', 'clName: 184B5', 'ppName: EGF', 'proteinLigandConcentration: 1', 'time: 10', 'measuredProtein: pAkt')	699.9749171
(' 49', 'clName: 184B5', 'ppName: EGF', 'proteinLigandConcentration: 100', 'time: 10', 'measuredProtein: pAkt')	1122.714931
(' 50', 'clName: 184B5', 'ppName: EGF', 'proteinLigandConcentration: 1', 'time: 30', 'measuredProtein: pAkt')	516.5090988
(' 51', 'clName: 184B5', 'ppName: EGF', 'proteinLigandConcentration: 100', 'time: 30', 'measuredProtein: pAkt')	895.9818667
(' 52', 'clName: 184B5', 'ppName: EGF', 'proteinLigandConcentration: 1', 'time: 90', 'measuredProtein: pAkt')	558.0880047
(' 53', 'clName: 184B5', 'ppName: EGF', 'proteinLigandConcentration: 100', 'time: 90', 'measuredProtein: pAkt')	1188.338259
(' 54', 'clName: 184B5', 'ppName: EGF', 'proteinLigandConcentration: 1', 'time: 10', 'measuredProtein: pErk')	3138.369616
(' 55', 'clName: 184B5', 'ppName: EGF', 'proteinLigandConcentration: 100', 'time: 10', 'measuredProtein: pErk')	5247.722313
(' 56', 'clName: 184B5', 'ppName: EGF', 'proteinLigandConcentration: 1', 'time: 30', 'measuredProtein: pErk')	3295.185459
(' 57', 'clName: 184B5', 'ppName: EGF', 'proteinLigandConcentration: 100', 'time: 30', 'measuredProtein: pErk')	4947.78122
(' 58', 'clName: 184B5', 'ppName: EGF', 'proteinLigandConcentration: 1', 'time: 90', 'measuredProtein: pErk')	2681.226241
(' 59', 'clName: 184B5', 'ppName: EGF', 'proteinLigandConcentration: 100', 'time: 90', 'measuredProtein: pErk')	3084.843034
(' 60', 'clName: 184B5', 'ppName: EGF', 'proteinLigandConcentration: 1', 'time: 10', 'measuredProtein: pJnk')	71.68280313
(' 61', 'clName: 184B5', 'ppName: EGF', 'proteinLigandConcentration: 100', 'time: 10', 'measuredProtein: pJnk')	74.46950135
(' 62', 'clName: 184B5', 'ppName: EGF', 'proteinLigandConcentration: 1', 'time: 30', 'measuredProtein: pJnk')	64.94912774
(' 63', 'clName: 184B5', 'ppName: EGF', 'proteinLigandConcentration: 100', 'time: 30', 'measuredProtein: pJnk')	76.47340704
(' 64', 'clName: 184B5', 'ppName: EGF', 'proteinLigandConcentration: 1', 'time: 90', 'measuredProtein: pJnk')	71.24735653
(' 65', 'clName: 184B5', 'ppName: EGF', 'proteinLigandConcentration: 100', 'time: 90', 'measuredProtein: pJnk')	86.99455936
(' 66', 'clName: 184B5', 'ppName: EGF', 'proteinLigandConcentration: 1', 'time: 10', 'measuredProtein: pP38')	199.5333174
(' 67', 'clName: 184B5', 'ppName: EGF', 'proteinLigandConcentration: 100', 'time: 10', 'measuredProtein: pP38')	244.2908799
(' 68', 'clName: 184B5', 'ppName: EGF', 'proteinLigandConcentration: 1', 'time: 30', 'measuredProtein: pP38')	210.1537554
(' 69', 'clName: 184B5', 'ppName: EGF', 'proteinLigandConcentration: 100', 'time: 30', 'measuredProtein: pP38')	257.1310773
(' 70', 'clName: 184B5', 'ppName: EGF', 'proteinLigandConcentration: 1', 'time: 90', 'measuredProtein: pP38')	208.4275824
(' 71', 'clName: 184B5', 'ppName: EGF', 'proteinLigandConcentration: 100', 'time: 90', 'measuredProtein: pP38')	216.4564144
(' 72', 'clName: 184B5', 'ppName: EPR', 'proteinLigandConcentration: 1', 'time: 10', 'measuredProtein: pAkt')	442.3162536
(' 73', 'clName: 184B5', 'ppName: EPR', 'proteinLigandConcentration: 100', 'time: 10', 'measuredProtein: pAkt')	895.6994223
(' 74', 'clName: 184B5', 'ppName: EPR', 'proteinLigandConcentration: 1', 'time: 30', 'measuredProtein: pAkt')	410.4545027
(' 75', 'clName: 184B5', 'ppName: EPR', 'proteinLigandConcentration: 100', 'time: 30', 'measuredProtein: pAkt')	529.949585
(' 76', 'clName: 184B5', 'ppName: EPR', 'proteinLigandConcentration: 1', 'time: 90', 'measuredProtein: pAkt')	456.4894337
(' 77', 'clName: 184B5', 'ppName: EPR', 'proteinLigandConcentration: 100', 'time: 90', 'measuredProtein: pAkt')	582.1043448
(' 78', 'clName: 184B5', 'ppName: EPR', 'proteinLigandConcentration: 1', 'time: 10', 'measuredProtein: pErk')	1158.091165
(' 79', 'clName: 184B5', 'ppName: EPR', 'proteinLigandConcentration: 100', 'time: 10', 'measuredProtein: pErk')	4931.990854
(' 80', 'clName: 184B5', 'ppName: EPR', 'proteinLigandConcentration: 1', 'time: 30', 'measuredProtein: pErk')	1187.313848
(' 81', 'clName: 184B5', 'ppName: EPR', 'proteinLigandConcentration: 100', 'time: 30', 'measuredProtein: pErk')	4177.16494
(' 82', 'clName: 184B5', 'ppName: EPR', 'proteinLigandConcentration: 1', 'time: 90', 'measuredProtein: pErk')	1757.418505
(' 83', 'clName: 184B5', 'ppName: EPR', 'proteinLigandConcentration: 100', 'time: 90', 'measuredProtein: pErk')	3162.385423
(' 84', 'clName: 184B5', 'ppName: EPR', 'proteinLigandConcentration: 1', 'time: 10', 'measuredProtein: pJnk')	60.12952539
(' 85', 'clName: 184B5', 'ppName: EPR', 'proteinLigandConcentration: 100', 'time: 10', 'measuredProtein: pJnk')	84.55866762
(' 86', 'clName: 184B5', 'ppName: EPR', 'proteinLigandConcentration: 1', 'time: 30', 'measuredProtein: pJnk')	68.85633382
(' 87', 'clName: 184B5', 'ppName: EPR', 'proteinLigandConcentration: 100', 'time: 30', 'measuredProtein: pJnk')	64.94129081
(' 88', 'clName: 184B5', 'ppName: EPR', 'proteinLigandConcentration: 1', 'time: 90', 'measuredProtein: pJnk')	71.5493607
(' 89', 'clName: 184B5', 'ppName: EPR', 'proteinLigandConcentration: 100', 'time: 90', 'measuredProtein: pJnk')	49.202795
(' 90', 'clName: 184B5', 'ppName: EPR', 'proteinLigandConcentration: 1', 'time: 10', 'measuredProtein: pP38')	183.8469227
(' 91', 'clName: 184B5', 'ppName: EPR', 'proteinLigandConcentration: 100', 'time: 10', 'measuredProtein: pP38')	224.7423301
(' 92', 'clName: 184B5', 'ppName: EPR', 'proteinLigandConcentration: 1', 'time: 30', 'measuredProtein: pP38')	189.2676715
(' 93', 'clName: 184B5', 'ppName: EPR', 'proteinLigandConcentration: 100', 'time: 30', 'measuredProtein: pP38')	206.3038114
(' 94', 'clName: 184B5', 'ppName: EPR', 'proteinLigandConcentration: 1', 'time: 90', 'measuredProtein: pP38')	208.1966989
(' 95', 'clName: 184B5', 'ppName: EPR', 'proteinLigandConcentration: 100', 'time: 90', 'measuredProtein: pP38')	214.0675362
(' 96', 'clName: 184B5', 'ppName: FGF-1', 'proteinLigandConcentration: 1', 'time: 10', 'measuredProtein: pAkt')	504.8575357
