	('cellCount 0',)	('percentApoptoticCells 1',)	('percentDeadCells 2',)
('3439 0', 'smCenterCompoundID: 10104.0', 'smSalt: 101.0', 'smLincsID: LSM-1104', 'smName: RO-3306', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C03', 'controlType: ', 'assayCompoundConcentration: 33.33333333', 'day: 1.0')	165.0	12.154822	18.698965
('3440 1', 'smCenterCompoundID: 10104.0', 'smSalt: 101.0', 'smLincsID: LSM-1104', 'smName: RO-3306', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C03', 'controlType: ', 'assayCompoundConcentration: 33.33333333', 'day: 2.0')	209.0	15.00497	25.048935
('3441 2', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C04', 'controlType: N', 'assayCompoundConcentration: ', 'day: 1.0')	502.0	1.369791	2.718754
('3442 3', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C04', 'controlType: N', 'assayCompoundConcentration: ', 'day: 2.0')	531.0	26.157692	26.252689
('3443 4', 'smCenterCompoundID: 10104.0', 'smSalt: 101.0', 'smLincsID: LSM-1104', 'smName: RO-3306', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C05', 'controlType: ', 'assayCompoundConcentration: 33.33333333', 'day: 1.0')	179.0	11.910072	20.451239
('3444 5', 'smCenterCompoundID: 10104.0', 'smSalt: 101.0', 'smLincsID: LSM-1104', 'smName: RO-3306', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C05', 'controlType: ', 'assayCompoundConcentration: 33.33333333', 'day: 2.0')	200.0	20.616631	38.16061
('3445 6', 'smCenterCompoundID: 10041.0', 'smSalt: 101.0', 'smLincsID: LSM-1041', 'smName: BI-2536', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C06', 'controlType: ', 'assayCompoundConcentration: 33.33333333', 'day: 1.0')	159.0	39.822395	55.073975
('3446 7', 'smCenterCompoundID: 10041.0', 'smSalt: 101.0', 'smLincsID: LSM-1041', 'smName: BI-2536', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C06', 'controlType: ', 'assayCompoundConcentration: 33.33333333', 'day: 2.0')	152.0	42.208389	72.945236
('3447 8', 'smCenterCompoundID: 10104.0', 'smSalt: 101.0', 'smLincsID: LSM-1104', 'smName: RO-3306', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C07', 'controlType: ', 'assayCompoundConcentration: 0.045726667', 'day: 1.0')	534.0	1.24781	2.113727
('3448 9', 'smCenterCompoundID: 10104.0', 'smSalt: 101.0', 'smLincsID: LSM-1104', 'smName: RO-3306', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C07', 'controlType: ', 'assayCompoundConcentration: 0.045726667', 'day: 2.0')	513.0	24.151251	24.729137
