	('cellCount',)	('percentApoptoticCells',)	('percentDeadCells',)
('BI-2536-5130', 'smCenterCompoundID: 10041.0', 'smSalt: 101.0', 'smLincsID: LSM-1041', 'smName: BI-2536', 'clName: KYSE-140', 'clCenterSpecificID: 50024', 'recordedWell: C08', 'controlType: ', 'assayCompoundConcentration: 33.33333333', 'day: 2.0')	-0.504463700404	4.35406856777	4.2302597201
('Taxol-5674', 'smCenterCompoundID: 10102.0', 'smSalt: 101.0', 'smLincsID: LSM-1102', 'smName: Taxol', 'clName: KYSE-180', 'clCenterSpecificID: 50026', 'recordedWell: D20', 'controlType: ', 'assayCompoundConcentration: 0.045726667', 'day: 2.0')	-0.565960933477	3.97541468104	4.58217087174
('BI-2536-5126', 'smCenterCompoundID: 10041.0', 'smSalt: 101.0', 'smLincsID: LSM-1041', 'smName: BI-2536', 'clName: KYSE-140', 'clCenterSpecificID: 50024', 'recordedWell: C06', 'controlType: ', 'assayCompoundConcentration: 33.33333333', 'day: 2.0')	-0.539604976446	4.00678547453	4.37378090075
('BI-2536-3530', 'smCenterCompoundID: 10041.0', 'smSalt: 101.0', 'smLincsID: LSM-1041', 'smName: BI-2536', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: E08', 'controlType: ', 'assayCompoundConcentration: 11.11111333', 'day: 2.0')	-0.486893062384	3.72332319219	3.87575231012
('XMD-12-3504', 'smCenterCompoundID: 10106.0', 'smSalt: 101.0', 'smLincsID: LSM-1106', 'smName: XMD-12', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D15', 'controlType: ', 'assayCompoundConcentration: 11.11111333', 'day: 2.0')	-0.456771968634	3.66411024725	3.86663990375
('BI-2536-3526', 'smCenterCompoundID: 10041.0', 'smSalt: 101.0', 'smLincsID: LSM-1041', 'smName: BI-2536', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: E06', 'controlType: ', 'assayCompoundConcentration: 11.11111333', 'day: 2.0')	-0.436691239467	3.46047715934	3.71629179586
('Taxol-5906', 'smCenterCompoundID: 10102.0', 'smSalt: 101.0', 'smLincsID: LSM-1102', 'smName: Taxol', 'clName: KYSE-180', 'clCenterSpecificID: 50026', 'recordedWell: J16', 'controlType: ', 'assayCompoundConcentration: 1.23457', 'day: 2.0')	-0.552155432175	3.09532649658	4.13711626553
('Staurosporine-3630', 'smCenterCompoundID: 10103.0', 'smSalt: 101.0', 'smLincsID: LSM-1103', 'smName: Staurosporine', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: G18', 'controlType: ', 'assayCompoundConcentration: 3.703706667', 'day: 2.0')	-0.40782519129	3.40643311794	3.67941540762
('XMD-12-3500', 'smCenterCompoundID: 10106.0', 'smSalt: 101.0', 'smLincsID: LSM-1106', 'smName: XMD-12', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D13', 'controlType: ', 'assayCompoundConcentration: 11.11111333', 'day: 2.0')	-0.453006831915	3.51508063575	3.59093101629
('BI-2536-3610', 'smCenterCompoundID: 10041.0', 'smSalt: 101.0', 'smLincsID: LSM-1041', 'smName: BI-2536', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: G08', 'controlType: ', 'assayCompoundConcentration: 3.703706667', 'day: 2.0')	-0.499443518113	3.43291280929	3.63992055747
