	('MeanIntensityDAPI 0',)	('ElongationFactor 1',)	('MeanIntensityAlexa488 2',)	('MeanIntensityAlexa555 3',)	('TotalIntensityAlexa555 4',)	('MeanIntensityAlexa647 5',)	('Area 6',)	('Z 7',)	('SpotCellCount 8',)	('TotalIntensityDAPI 9',)	('MeanIntensityDAPIMedNorm 10',)	('MeanIntensityAlexa488MedNorm 11',)	('MeanIntensityAlexa555MedNorm 12',)	('TotalIntensityAlexa555MedNorm 13',)	('MeanIntensityAlexa647MedNorm 14',)	('TotalIntensityDAPIMedNorm 15',)	('SpotCellCountMedNorm 16',)	('RadialPosition 17',)	('Density 18',)	('EdUPositiveProportion 19',)	('CVElongationFactor 20',)	('CVZ 21',)	('CVRadialPosition 22',)	('CVDensity 23',)	('CVEdUPositiveProportion 24',)	('LoessSCC 25',)
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 0', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: ALCAM_Q13740', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  18', 'ECMp: ALCAM')	384.58	1.75	148.414	54.899	204182.0	4.647	3800.0	5753.0	15.5	1228252.0	0.4987	1.5563	1.1781	0.91703	0.6414	0.36674	0.28704	109.886	1.0258	0.0	0.055199	0.001514	0.211838	0.88455	1.6274	1.0072
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 1', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: BCAN_ Q96GW7', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  13', 'ECMp: BCAN')	353.54	1.75	158.844	56.166	222211.0	4.928	3902.0	5755.0	10.0	1334042.0	0.4584	1.6656	1.2053	0.998	0.6801	0.39833	0.18519	103.501	0.6217	0.0	0.079356	0.00145	0.163821	0.70034	2.0615	0.9909
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 2', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: BGN_ P21810', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  14', 'ECMp: BGN')	384.41	1.831	159.071	53.825	206583.0	5.091	4188.0	5757.0	12.0	1300229.0	0.4985	1.668	1.1551	0.92781	0.7026	0.38823	0.22222	105.904	0.74604	0.0	0.058553	0.001363	0.23263	0.46045	1.4165	0.9303
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 3', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: CADH15_P55291', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  12', 'ECMp: CADH15')	313.14	1.825	143.592	50.28	191224.0	5.055	4091.0	5756.0	11.0	1184377.0	0.406	1.5057	1.079	0.85883	0.6977	0.35364	0.2037	101.638	0.6217	0.0	0.07026	0.001112	0.213981	0.70067	1.8695	0.937
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 4', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: CD44_P16070', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  14', 'ECMp: CD44')	363.21	1.829	158.146	54.158	211956.0	4.778	4048.0	5751.0	15.0	1357114.0	0.471	1.6583	1.1622	0.95194	0.6594	0.40522	0.27778	116.433	0.80821	0.0	0.087689	0.001144	0.16155	0.58848	1.7007	0.9586
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 5', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: CDH1_P12830', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  15', 'ECMp: CDH1')	348.24	1.79	147.399	52.826	210645.0	4.624	3882.0	5753.0	17.0	1122915.0	0.4516	1.5456	1.1337	0.94605	0.6382	0.33529	0.31481	118.869	1.11906	0.05	0.04531	0.00116	0.193895	0.52595	1.2888	1.0445
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 6', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: CDH20_Q9HBT6', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  15', 'ECMp: CDH20')	387.06	1.753	165.719	55.256	209204.0	4.879	3722.0	5751.0	13.0	1158664.0	0.5019	1.7377	1.1858	0.93958	0.6733	0.34596	0.24074	100.69	0.99472	0.0	0.053381	0.001353	0.229127	0.52905	3.0873	1.0176
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 7', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: CDH3_P22223', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  12', 'ECMp: CDH3')	372.04	1.808	153.69	55.202	198473.0	5.157	3605.0	5753.0	14.5	1168408.0	0.4824	1.6116	1.1846	0.89139	0.7117	0.34887	0.26852	104.18	1.18123	0.0	0.069457	0.0008875	0.121915	0.43925	2.3374	1.1238
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 8', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: CDH6_P55285', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  16', 'ECMp: CDH6')	368.82	1.733	138.184	55.284	233360.0	4.44	4088.0	5752.0	11.5	1354402.0	0.4783	1.449	1.1864	1.04807	0.6129	0.40441	0.21296	104.586	0.6217	0.0	0.073458	0.001399	0.222777	0.70602	1.802	1.1068
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 9', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: CDH8_P55286', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  16', 'ECMp: CDH8')	357.88	1.778	144.154	52.566	193620.0	4.614	3873.0	5754.0	16.5	1164411.0	0.4641	1.5116	1.1281	0.86959	0.6368	0.34768	0.30556	114.186	1.05689	0.0	0.069543	0.001701	0.224763	0.72632	1.4523	1.0855
