	('measuredpERK(Alexa488) 0',)	('measuredp-Rb(Alexa568) 1',)	('alexaFluor647 2',)	('measuredp-Akt/p-4EBP1/p-S6(Alexa647) 3',)
('91350 0', 'smCenterCompoundID: 10098', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1098', 'smName: Gefitinib', 'clName: AU565', 'clCenterSpecificID: 50091', 'drugConcentration: 0 (control)', 'concUnits: ', 'timepoint: 6')	286.03	62.732		29.071
('91351 1', 'smCenterCompoundID: 10098', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1098', 'smName: Gefitinib', 'clName: AU565', 'clCenterSpecificID: 50091', 'drugConcentration: 0 (control)', 'concUnits: ', 'timepoint: 24')	659.08	130.41		134.35
('91352 2', 'smCenterCompoundID: 10345', 'smSalt: 111', 'smCenterSampleID: 1', 'smLincsID: LSM-6357', 'smName: PP242', 'clName: AU565', 'clCenterSpecificID: 50091', 'drugConcentration: 0 (control)', 'concUnits: ', 'timepoint: 6')	228.66	55.933		26.377
('91353 3', 'smCenterCompoundID: 10345', 'smSalt: 111', 'smCenterSampleID: 1', 'smLincsID: LSM-6357', 'smName: PP242', 'clName: AU565', 'clCenterSpecificID: 50091', 'drugConcentration: 0 (control)', 'concUnits: ', 'timepoint: 24')	522.19	120.45		94.972
('91354 4', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: AU565', 'clCenterSpecificID: 50091', 'drugConcentration: 0 (control)', 'concUnits: ', 'timepoint: 6')	264.31	61.817		28.75
('91355 5', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: AU565', 'clCenterSpecificID: 50091', 'drugConcentration: 0 (control)', 'concUnits: ', 'timepoint: 24')	452.11	110.23		88.092
('91356 6', 'smCenterCompoundID: 10057', 'smSalt: 102', 'smCenterSampleID: 1', 'smLincsID: LSM-1057', 'smName: MK2206', 'clName: AU565', 'clCenterSpecificID: 50091', 'drugConcentration: 0 (control)', 'concUnits: ', 'timepoint: 6')	215.16	63.344		22.807
('91357 7', 'smCenterCompoundID: 10057', 'smSalt: 102', 'smCenterSampleID: 1', 'smLincsID: LSM-1057', 'smName: MK2206', 'clName: AU565', 'clCenterSpecificID: 50091', 'drugConcentration: 0 (control)', 'concUnits: ', 'timepoint: 24')	427.04	124.23		78.881
('91358 8', 'smCenterCompoundID: 10280', 'smSalt: 101', 'smCenterSampleID: 1', 'smLincsID: LSM-3810', 'smName: Triciribine', 'clName: AU565', 'clCenterSpecificID: 50091', 'drugConcentration: 0 (control)', 'concUnits: ', 'timepoint: 6')	231.71	61.008		21.543
('91359 9', 'smCenterCompoundID: 10280', 'smSalt: 101', 'smCenterSampleID: 1', 'smLincsID: LSM-3810', 'smName: Triciribine', 'clName: AU565', 'clCenterSpecificID: 50091', 'drugConcentration: 0 (control)', 'concUnits: ', 'timepoint: 24')	511.74	118.54		102.35
('91360 10', 'smCenterCompoundID: 10232', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-4255', 'smName: BEZ235', 'clName: AU565', 'clCenterSpecificID: 50091', 'drugConcentration: 0 (control)', 'concUnits: ', 'timepoint: 6')	235.49	54.013		23.902
('91361 11', 'smCenterCompoundID: 10232', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-4255', 'smName: BEZ235', 'clName: AU565', 'clCenterSpecificID: 50091', 'drugConcentration: 0 (control)', 'concUnits: ', 'timepoint: 24')	496.14	121.03		137.91
('91362 12', 'smCenterCompoundID: 10098', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1098', 'smName: Gefitinib', 'clName: HCC1954', 'clCenterSpecificID: 50213', 'drugConcentration: 0 (control)', 'concUnits: ', 'timepoint: 6')	411.8	93.539		46.607
('91363 13', 'smCenterCompoundID: 10098', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1098', 'smName: Gefitinib', 'clName: HCC1954', 'clCenterSpecificID: 50213', 'drugConcentration: 0 (control)', 'concUnits: ', 'timepoint: 24')	342.49	120.54		84.26
