	('cellCount 0',)	('eduPositive 1',)	('mpm2Positive 2',)	('eduPositiveNonMitotic 3',)	('eduPositiveMitotic 4',)
('29503 0', 'smName: RO-3306', 'clName: 5637', 'recordedWell: C03', 'timepoint: 1', 'assayCompoundConcentration: 33.33333333')	232.0	23.707	0.0	23.707	0.0
('29504 1', 'smName: RO-3306', 'clName: 5637', 'recordedWell: C03', 'timepoint: 2', 'assayCompoundConcentration: 33.33333333')	144.0	13.194	0.0	13.194	0.0
('29505 2', 'smName: RO-3306', 'clName: 5637', 'recordedWell: C03', 'timepoint: 3', 'assayCompoundConcentration: 33.33333333')	136.0	2.9412	0.0	2.9412	0.0
('29506 3', 'smName: ', 'clName: 5637', 'recordedWell: C04', 'timepoint: 1', 'assayCompoundConcentration: ')	181.0	93.37	1.6575	93.258	100.0
('29507 4', 'smName: ', 'clName: 5637', 'recordedWell: C04', 'timepoint: 2', 'assayCompoundConcentration: ')	302.0	92.384	1.3245	92.282	100.0
('29508 5', 'smName: ', 'clName: 5637', 'recordedWell: C04', 'timepoint: 3', 'assayCompoundConcentration: ')	675.0	86.222	1.4815	86.015	100.0
('29509 6', 'smName: RO-3306', 'clName: 5637', 'recordedWell: C05', 'timepoint: 1', 'assayCompoundConcentration: 33.33333333')	189.0	20.106	0.0	20.106	0.0
('29510 7', 'smName: RO-3306', 'clName: 5637', 'recordedWell: C05', 'timepoint: 2', 'assayCompoundConcentration: 33.33333333')	165.0	14.545	0.0	14.545	0.0
('29511 8', 'smName: RO-3306', 'clName: 5637', 'recordedWell: C05', 'timepoint: 3', 'assayCompoundConcentration: 33.33333333')	197.0	2.5381	3.0457	2.6178	0.0
('29512 9', 'smName: BI-2536', 'clName: 5637', 'recordedWell: C06', 'timepoint: 1', 'assayCompoundConcentration: 33.33333333')	56.0	50.0	0.0	50.0	0.0
('29513 10', 'smName: BI-2536', 'clName: 5637', 'recordedWell: C06', 'timepoint: 2', 'assayCompoundConcentration: 33.33333333')	27.0	0.0	0.0	0.0	0.0
('29514 11', 'smName: BI-2536', 'clName: 5637', 'recordedWell: C06', 'timepoint: 3', 'assayCompoundConcentration: 33.33333333')	40.0	0.0	0.0	0.0	0.0
('29515 12', 'smName: RO-3306', 'clName: 5637', 'recordedWell: C07', 'timepoint: 1', 'assayCompoundConcentration: 0.045726667')	108.0	87.963	4.6296	87.379	100.0
('29516 13', 'smName: RO-3306', 'clName: 5637', 'recordedWell: C07', 'timepoint: 2', 'assayCompoundConcentration: 0.045726667')	367.0	95.64	0.54496	95.616	100.0
('29517 14', 'smName: RO-3306', 'clName: 5637', 'recordedWell: C07', 'timepoint: 3', 'assayCompoundConcentration: 0.045726667')	500.0	88.4	2.8	88.066	100.0
('29518 15', 'smName: BI-2536', 'clName: 5637', 'recordedWell: C08', 'timepoint: 1', 'assayCompoundConcentration: 33.33333333')	36.0	44.444	0.0	44.444	0.0
('29519 16', 'smName: BI-2536', 'clName: 5637', 'recordedWell: C08', 'timepoint: 2', 'assayCompoundConcentration: 33.33333333')	23.0	4.3478	0.0	4.3478	0.0
('29520 17', 'smName: BI-2536', 'clName: 5637', 'recordedWell: C08', 'timepoint: 3', 'assayCompoundConcentration: 33.33333333')	46.0	0.0	0.0	0.0	0.0
('29521 18', 'smName: RO-3306', 'clName: 5637', 'recordedWell: C09', 'timepoint: 1', 'assayCompoundConcentration: 0.045726667')	194.0	92.784	4.1237	92.473	100.0
('29522 19', 'smName: RO-3306', 'clName: 5637', 'recordedWell: C09', 'timepoint: 2', 'assayCompoundConcentration: 0.045726667')	271.0	89.668	1.845	89.474	100.0
('29523 20', 'smName: RO-3306', 'clName: 5637', 'recordedWell: C09', 'timepoint: 3', 'assayCompoundConcentration: 0.045726667')	514.0	86.77	2.1401	86.481	100.0
('29524 21', 'smName: BI-2536', 'clName: 5637', 'recordedWell: C10', 'timepoint: 1', 'assayCompoundConcentration: 0.045726667')	132.0	75.0	3.7879	74.803	80.0
('29525 22', 'smName: BI-2536', 'clName: 5637', 'recordedWell: C10', 'timepoint: 2', 'assayCompoundConcentration: 0.045726667')	35.0	17.143	5.7143	18.182	0.0
('29526 23', 'smName: BI-2536', 'clName: 5637', 'recordedWell: C10', 'timepoint: 3', 'assayCompoundConcentration: 0.045726667')	27.0	22.222	3.7037	19.231	100.0
('29527 24', 'smName: ', 'clName: 5637', 'recordedWell: C11', 'timepoint: 1', 'assayCompoundConcentration: ')	194.0	95.361	3.6082	95.187	100.0
('29528 25', 'smName: ', 'clName: 5637', 'recordedWell: C11', 'timepoint: 2', 'assayCompoundConcentration: ')	335.0	86.567	1.791	86.322	100.0
('29529 26', 'smName: ', 'clName: 5637', 'recordedWell: C11', 'timepoint: 3', 'assayCompoundConcentration: ')	437.0	86.499	0.6865	86.406	100.0
('29530 27', 'smName: BI-2536', 'clName: 5637', 'recordedWell: C12', 'timepoint: 1', 'assayCompoundConcentration: 0.045726667')	99.0	81.818	7.0707	81.522	85.714
('29531 28', 'smName: BI-2536', 'clName: 5637', 'recordedWell: C12', 'timepoint: 2', 'assayCompoundConcentration: 0.045726667')	52.0	7.6923	5.7692	6.1224	33.333
('29532 29', 'smName: BI-2536', 'clName: 5637', 'recordedWell: C12', 'timepoint: 3', 'assayCompoundConcentration: 0.045726667')	51.0	11.765	0.0	11.765	0.0
('29533 30', 'smName: MPS-1-IN-1', 'clName: 5637', 'recordedWell: C13', 'timepoint: 1', 'assayCompoundConcentration: 11.11111333')	150.0	45.333	6.6667	44.286	60.0
('29534 31', 'smName: MPS-1-IN-1', 'clName: 5637', 'recordedWell: C13', 'timepoint: 2', 'assayCompoundConcentration: 11.11111333')	67.0	20.896	1.4925	21.212	0.0
('29535 32', 'smName: MPS-1-IN-1', 'clName: 5637', 'recordedWell: C13', 'timepoint: 3', 'assayCompoundConcentration: 11.11111333')	62.0	12.903	1.6129	11.475	100.0
('29536 33', 'smName: ', 'clName: 5637', 'recordedWell: C14', 'timepoint: 1', 'assayCompoundConcentration: ')	304.0	91.118	1.6447	90.97	100.0
('29537 34', 'smName: ', 'clName: 5637', 'recordedWell: C14', 'timepoint: 2', 'assayCompoundConcentration: ')	288.0	88.889	2.0833	88.652	100.0
('29538 35', 'smName: ', 'clName: 5637', 'recordedWell: C14', 'timepoint: 3', 'assayCompoundConcentration: ')	815.0	89.202	1.7178	89.014	100.0
('29539 36', 'smName: MPS-1-IN-1', 'clName: 5637', 'recordedWell: C15', 'timepoint: 1', 'assayCompoundConcentration: 11.11111333')	238.0	27.731	3.3613	25.652	87.5
('29540 37', 'smName: MPS-1-IN-1', 'clName: 5637', 'recordedWell: C15', 'timepoint: 2', 'assayCompoundConcentration: 11.11111333')	94.0	5.3191	3.1915	4.3956	33.333
('29541 38', 'smName: MPS-1-IN-1', 'clName: 5637', 'recordedWell: C15', 'timepoint: 3', 'assayCompoundConcentration: 11.11111333')	73.0	6.8493	1.3699	5.5556	100.0
('29542 39', 'smName: Staurosporine', 'clName: 5637', 'recordedWell: C16', 'timepoint: 1', 'assayCompoundConcentration: 33.33333333')	101.0	70.297	0.0	70.297	0.0
('29543 40', 'smName: Staurosporine', 'clName: 5637', 'recordedWell: C16', 'timepoint: 2', 'assayCompoundConcentration: 33.33333333')	83.0	42.169	0.0	42.169	0.0
('29544 41', 'smName: Staurosporine', 'clName: 5637', 'recordedWell: C16', 'timepoint: 3', 'assayCompoundConcentration: 33.33333333')	50.0	8.0	0.0	8.0	0.0
('29545 42', 'smName: MPS-1-IN-1', 'clName: 5637', 'recordedWell: C17', 'timepoint: 1', 'assayCompoundConcentration: 0.015243333')	207.0	97.101	3.3816	97.0	100.0
('29546 43', 'smName: MPS-1-IN-1', 'clName: 5637', 'recordedWell: C17', 'timepoint: 2', 'assayCompoundConcentration: 0.015243333')	371.0	89.488	1.0782	89.373	100.0
('29547 44', 'smName: MPS-1-IN-1', 'clName: 5637', 'recordedWell: C17', 'timepoint: 3', 'assayCompoundConcentration: 0.015243333')	815.0	88.344	2.9448	87.99	100.0
('29548 45', 'smName: Staurosporine', 'clName: 5637', 'recordedWell: C18', 'timepoint: 1', 'assayCompoundConcentration: 33.33333333')	109.0	61.468	3.6697	60.0	100.0
('29549 46', 'smName: Staurosporine', 'clName: 5637', 'recordedWell: C18', 'timepoint: 2', 'assayCompoundConcentration: 33.33333333')	78.0	29.487	1.2821	29.87	0.0
('29550 47', 'smName: Staurosporine', 'clName: 5637', 'recordedWell: C18', 'timepoint: 3', 'assayCompoundConcentration: 33.33333333')	58.0	10.345	0.0	10.345	0.0
('29551 48', 'smName: MPS-1-IN-1', 'clName: 5637', 'recordedWell: C19', 'timepoint: 1', 'assayCompoundConcentration: 0.015243333')	194.0	94.845	5.1546	94.565	100.0
('29552 49', 'smName: MPS-1-IN-1', 'clName: 5637', 'recordedWell: C19', 'timepoint: 2', 'assayCompoundConcentration: 0.015243333')	320.0	90.625	3.75	90.26	100.0
('29553 50', 'smName: MPS-1-IN-1', 'clName: 5637', 'recordedWell: C19', 'timepoint: 3', 'assayCompoundConcentration: 0.015243333')	534.0	88.577	1.3109	88.425	100.0
('29554 51', 'smName: Staurosporine', 'clName: 5637', 'recordedWell: C20', 'timepoint: 1', 'assayCompoundConcentration: 0.00019')	149.0	94.631	2.6846	94.483	100.0
('29555 52', 'smName: Staurosporine', 'clName: 5637', 'recordedWell: C20', 'timepoint: 2', 'assayCompoundConcentration: 0.00019')	329.0	86.626	0.6079	86.544	100.0
('29556 53', 'smName: Staurosporine', 'clName: 5637', 'recordedWell: C20', 'timepoint: 3', 'assayCompoundConcentration: 0.00019')	330.0	78.182	1.8182	77.778	100.0
('29557 54', 'smName: ', 'clName: 5637', 'recordedWell: C21', 'timepoint: 1', 'assayCompoundConcentration: ')	155.0	90.968	5.8065	90.411	100.0
('29558 55', 'smName: ', 'clName: 5637', 'recordedWell: C21', 'timepoint: 2', 'assayCompoundConcentration: ')	419.0	91.647	1.6706	91.505	100.0
('29559 56', 'smName: ', 'clName: 5637', 'recordedWell: C21', 'timepoint: 3', 'assayCompoundConcentration: ')	617.0	94.652	1.1345	94.59	100.0
('29560 57', 'smName: Staurosporine', 'clName: 5637', 'recordedWell: C22', 'timepoint: 1', 'assayCompoundConcentration: 0.00019')	192.0	86.458	4.1667	85.87	100.0
('29561 58', 'smName: Staurosporine', 'clName: 5637', 'recordedWell: C22', 'timepoint: 2', 'assayCompoundConcentration: 0.00019')	284.0	88.732	2.4648	88.809	85.714
('29562 59', 'smName: Staurosporine', 'clName: 5637', 'recordedWell: C22', 'timepoint: 3', 'assayCompoundConcentration: 0.00019')	626.0	88.978	2.2364	88.725	100.0
('29563 60', 'smName: GW843682', 'clName: 5637', 'recordedWell: D03', 'timepoint: 1', 'assayCompoundConcentration: 33.33333333')	120.0	85.0	0.83333	84.874	100.0
('29564 61', 'smName: GW843682', 'clName: 5637', 'recordedWell: D03', 'timepoint: 2', 'assayCompoundConcentration: 33.33333333')	202.0	57.426	0.0	57.426	0.0
('29565 62', 'smName: GW843682', 'clName: 5637', 'recordedWell: D03', 'timepoint: 3', 'assayCompoundConcentration: 33.33333333')	208.0	43.269	0.0	43.269	0.0
('29566 63', 'smName: ', 'clName: 5637', 'recordedWell: D04', 'timepoint: 1', 'assayCompoundConcentration: ')	175.0	95.429	2.8571	95.294	100.0
('29567 64', 'smName: ', 'clName: 5637', 'recordedWell: D04', 'timepoint: 2', 'assayCompoundConcentration: ')	483.0	93.996	1.6563	93.895	100.0
('29568 65', 'smName: ', 'clName: 5637', 'recordedWell: D04', 'timepoint: 3', 'assayCompoundConcentration: ')	387.0	80.103	2.3256	79.63	100.0
('29569 66', 'smName: GW843682', 'clName: 5637', 'recordedWell: D05', 'timepoint: 1', 'assayCompoundConcentration: 33.33333333')	145.0	75.862	2.7586	75.887	75.0
('29570 67', 'smName: GW843682', 'clName: 5637', 'recordedWell: D05', 'timepoint: 2', 'assayCompoundConcentration: 33.33333333')	141.0	51.773	0.70922	51.429	100.0
('29571 68', 'smName: GW843682', 'clName: 5637', 'recordedWell: D05', 'timepoint: 3', 'assayCompoundConcentration: 33.33333333')	128.0	28.125	0.78125	27.559	100.0
('29572 69', 'smName: Tozasertib', 'clName: 5637', 'recordedWell: D06', 'timepoint: 1', 'assayCompoundConcentration: 33.33333333')	35.0	2.8571	0.0	2.8571	0.0
('29573 70', 'smName: Tozasertib', 'clName: 5637', 'recordedWell: D06', 'timepoint: 2', 'assayCompoundConcentration: 33.33333333')	44.0	0.0	0.0	0.0	0.0
('29574 71', 'smName: Tozasertib', 'clName: 5637', 'recordedWell: D06', 'timepoint: 3', 'assayCompoundConcentration: 33.33333333')	33.0	0.0	0.0	0.0	0.0
