	('pAkt10min 0',)	('pAkt30min 1',)	('pAkt90min 2',)	('pErk10min 3',)	('pErk30min 4',)	('pErk90min 5',)	('ligrespelisapaktAU 6',)	('ligrespelisaperkAU 7',)
('114465 0', 'protein_ppName: BTC', 'cell_clName: MCF7', 'ligandConcentration: 1.0')	1419.591115	2493.334342	889.1092723	31767.33429	23408.67272	7535.649125		
('114466 1', 'protein_ppName: BTC', 'cell_clName: MCF7', 'ligandConcentration: 100.0')	4851.873532	3374.848856	2134.307602	58976.08593	34863.81952	6781.205161		
('114467 2', 'protein_ppName: BTC', 'cell_clName: SK-BR-3', 'ligandConcentration: 1.0')	18514.53334	19358.46307	11345.95835	39106.43799	35926.44856	28516.1025		
('114468 3', 'protein_ppName: BTC', 'cell_clName: SK-BR-3', 'ligandConcentration: 100.0')	47781.59349	48534.18883	47097.89037	41759.36705	38693.31351	30672.04687		
('114469 4', 'protein_ppName: BTC', 'cell_clName: MDA-MB-231', 'ligandConcentration: 1.0')	4575.291042	1680.179857	1292.397486	13147.21848	10582.89172	7578.674632		
('114470 5', 'protein_ppName: BTC', 'cell_clName: MDA-MB-231', 'ligandConcentration: 100.0')	6571.23767	4457.051682	2204.36786	17361.84526	9114.474098	5216.424011		
('114471 6', 'protein_ppName: BTC', 'cell_clName: AU565', 'ligandConcentration: 1.0')	10613.43361	13577.41789	8561.14828	37575.85709	37321.75076	26120.44014		
('114472 7', 'protein_ppName: BTC', 'cell_clName: AU565', 'ligandConcentration: 100.0')	30952.36152	40943.10982	33568.54114	43092.5775	44078.4359	34900.96816		
('114473 8', 'protein_ppName: BTC', 'cell_clName: BT-20', 'ligandConcentration: 1.0')	15863.2948	14866.24327	13798.65463	27362.41142	22655.70516	20268.43899		
('114474 9', 'protein_ppName: BTC', 'cell_clName: BT-20', 'ligandConcentration: 100.0')	16165.2923	17211.12545	16012.55535	28628.6303	26489.29949	22170.67603		
('114475 10', 'protein_ppName: BTC', 'cell_clName: BT-474', 'ligandConcentration: 1.0')	24288.29005	24470.22867	21883.93546	26887.72304	20365.05169	15684.41787		
('114476 11', 'protein_ppName: BTC', 'cell_clName: BT-474', 'ligandConcentration: 100.0')	72916.74423	80638.60522	91682.67841	44219.74567	32925.93283	22712.67704		
('114477 12', 'protein_ppName: BTC', 'cell_clName: BT-483', 'ligandConcentration: 1.0')	3536.113679	3326.446322	2327.617166	20624.92667	8597.255843	2457.33093		
('114478 13', 'protein_ppName: BTC', 'cell_clName: BT-483', 'ligandConcentration: 100.0')	4760.125985	5352.073893	5524.789164	31020.69299	5778.890863	1764.7611		
('114479 14', 'protein_ppName: BTC', 'cell_clName: BT-549', 'ligandConcentration: 1.0')	12028.04951	10238.11396	10303.27012	9196.715762	4905.80702	6372.027641		
('114480 15', 'protein_ppName: BTC', 'cell_clName: BT-549', 'ligandConcentration: 100.0')	16462.19024	14367.2143	9698.080931	19620.85752	9208.348653	3608.044944		
('114481 16', 'protein_ppName: BTC', 'cell_clName: CAMA-1', 'ligandConcentration: 1.0')	6896.745949	8283.485539	5580.61197	15071.78468	15929.64529	6850.604665		
('114482 17', 'protein_ppName: BTC', 'cell_clName: CAMA-1', 'ligandConcentration: 100.0')	9706.135904	12952.69699	9920.952056	32481.76558	13201.42288	7443.810871		
('114483 18', 'protein_ppName: BTC', 'cell_clName: HCC1395', 'ligandConcentration: 1.0')	17982.02993	21119.31684	21520.51131	17216.65905	15264.84356	10213.03367		
('114484 19', 'protein_ppName: BTC', 'cell_clName: HCC1395', 'ligandConcentration: 100.0')	22074.05972	23737.13957	17193.4797	19190.91832	11237.88845	2294.37206		
('114485 20', 'protein_ppName: BTC', 'cell_clName: HCC1419', 'ligandConcentration: 1.0')	41592.0453	32725.48935	19038.2219	35396.64841	23647.26842	26373.51021		
('114486 21', 'protein_ppName: BTC', 'cell_clName: HCC1419', 'ligandConcentration: 100.0')	72871.27104	67179.75278	53970.82593	46177.23427	33189.97324	38669.18131		
('114487 22', 'protein_ppName: BTC', 'cell_clName: HCC1428', 'ligandConcentration: 1.0')	1040.118819	1040.118819	1040.118819	33322.21694	26045.98984	11111.23674		
