	('auc 0',)
('490650 0', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10001', 'smallmolecule_smLincsID: LSM-1001', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.74127
('490651 1', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10004', 'smallmolecule_smLincsID: LSM-1004', 'smallmolecule_smName: AT-7519', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	-0.095085
('490652 2', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10006', 'smallmolecule_smLincsID: LSM-1006', 'smallmolecule_smName: AZD7762', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.027417
('490653 3', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10007', 'smallmolecule_smLincsID: LSM-1007', 'smallmolecule_smName: AZD8055', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	-0.041406
('490654 4', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10008', 'smallmolecule_smLincsID: LSM-1008', 'smallmolecule_smName: Sorafenib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.79943
('490655 5', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10009', 'smallmolecule_smLincsID: LSM-1009', 'smallmolecule_smName: CP466722', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.93378
('490656 6', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10010', 'smallmolecule_smLincsID: LSM-1010', 'smallmolecule_smName: CP724714', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.75685
('490657 7', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10011', 'smallmolecule_smLincsID: LSM-1011', 'smallmolecule_smName: Flavopiridol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	-0.30557
('490658 8', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10014', 'smallmolecule_smLincsID: LSM-1014', 'smallmolecule_smName: GW843682', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.2298
('490659 9', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10015', 'smallmolecule_smLincsID: LSM-5982', 'smallmolecule_smName: HG-5-113-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.3313
('490660 10', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10016', 'smallmolecule_smLincsID: LSM-5245', 'smallmolecule_smName: HG-5-88-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.37241
('490661 11', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10017', 'smallmolecule_smLincsID: LSM-6015', 'smallmolecule_smName: HG-6-64-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.74494
('490662 12', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10018', 'smallmolecule_smLincsID: LSM-1018', 'smallmolecule_smName: Neratinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.46171
('490663 13', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10019', 'smallmolecule_smLincsID: LSM-5674', 'smallmolecule_smName: JW-7-24-1', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.29536
('490664 14', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10020', 'smallmolecule_smLincsID: LSM-1020', 'smallmolecule_smName: Dasatinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.11431
('490665 15', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10020', 'smallmolecule_smLincsID: LSM-1020', 'smallmolecule_smName: Dasatinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	-0.035189
('490666 16', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10021', 'smallmolecule_smLincsID: LSM-1021', 'smallmolecule_smName: Tozasertib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.067341
('490667 17', 'smallmolecule_smSalt: 103', 'smallmolecule_smCenterCompoundID: 10023', 'smallmolecule_smLincsID: LSM-1023', 'smallmolecule_smName: Imatinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	1.0365
('490668 18', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.039928
('490669 19', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10025', 'smallmolecule_smLincsID: LSM-1025', 'smallmolecule_smName: CGP60474', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	-0.11178
('490670 20', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10025', 'smallmolecule_smLincsID: LSM-1025', 'smallmolecule_smName: CGP60474', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	-0.35227
('490671 21', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10026', 'smallmolecule_smLincsID: LSM-1026', 'smallmolecule_smName: PD173074', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.99804
('490672 22', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10027', 'smallmolecule_smLincsID: LSM-1027', 'smallmolecule_smName: Crizotinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.3919
('490673 23', 'smallmolecule_smSalt: 102', 'smallmolecule_smCenterCompoundID: 10028', 'smallmolecule_smLincsID: LSM-1028', 'smallmolecule_smName: BMS345541', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.51916
('490674 24', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10031', 'smallmolecule_smLincsID: LSM-1031', 'smallmolecule_smName: KIN001-043', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.75418
