	('maxDose(log10) 0',)	('goodnessOfFit 1',)	('EC50(log10) 2',)	('IC50(log10) 3',)	('GI50(log10) 4',)	('hillSlope 5',)	('E_inf 6',)	('E_max 7',)	('areaUnderCurve 8',)
('GSK461364 0', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: MCF7', 'clCenterSpecificID: 50029')	-4.4776	0.80305	-6.3506	-4.6631	-6.4936	3.1375	0.3164	0.3789	7.0589
('GSK461364 1', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: SK-BR-3', 'clCenterSpecificID: 50057')	-4.4776	0.89085	-7.6476	-7.538	-7.6994	3.979	0.3129	0.3129	5.8281
('GSK461364 2', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: MDA-MB-231', 'clCenterSpecificID: 50058')	-4.4776	0.85655	-7.8021	-7.7101	-7.7688	3.9985	0.27275	0.27275	5.0535
('GSK461364 3', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: AU565', 'clCenterSpecificID: 50091')	-4.4776	0.9163	-7.8996	-7.8424	-7.9567	3.999	0.1548	0.1548	4.6399
('GSK461364 4', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: BT-20', 'clCenterSpecificID: 50105')									
('GSK461364 5', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: BT-474', 'clCenterSpecificID: 50106')	-4.4776	0.7677	-4.9305	-4.9304	-5.0842	3.999	1.66e-16	0.01522	7.4055
('GSK461364 6', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: BT-483', 'clCenterSpecificID: 50107')	-4.4776	0.8228	-4.9223	-4.9223	-5.7449	2.2735	1.67e-16	0.088905	7.5231
('GSK461364 7', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: BT-549', 'clCenterSpecificID: 50108')	-4.4776	0.9641	-7.4546	-7.3658	-7.4956	1.53	0.135	0.13502	5.011
('GSK461364 8', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: CAMA-1', 'clCenterSpecificID: 50131')	-4.4776								7.0491
('GSK461364 9', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: HCC1143', 'clCenterSpecificID: 50205')	-4.4776	0.8745	-6.5206	-6.4846	-7.1518	2.1907	0.1222	0.24957	5.9762
('GSK461364 10', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: HCC1395', 'clCenterSpecificID: 50206')	-4.4776	0.9094	-8.1721	-8.0244	-8.568	2.3616	0.20495	0.20738	4.4694
('GSK461364 11', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: HCC1419', 'clCenterSpecificID: 50207')	-4.4776	0.8303	-4.94	-4.8793	-5.1187	3.999	0.2136	0.22458	8.3641
('GSK461364 12', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: HCC1428', 'clCenterSpecificID: 50208')	-4.4776	0.9592	-4.94	-4.9399	-5.269	3.34	2.03e-16	0.020262	7.7381
('GSK461364 13', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: HCC1569', 'clCenterSpecificID: 50210')	-4.4776	0.7965	-5.0714	-5.0714	-5.7745	0.3696	3.45e-12	0.37629	6.5207
('GSK461364 14', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: HCC1806', 'clCenterSpecificID: 50211')	-4.4776	0.9549	-7.9236	-7.8853	-7.9576	4.0	0.1486	0.1486	4.4396
('GSK461364 15', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: HCC1937', 'clCenterSpecificID: 50212')	-4.4776	0.9499	-6.4746	-6.3569	-7.4841	0.4122	0.05075	0.19803	5.782
('GSK461364 16', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: HCC1954', 'clCenterSpecificID: 50213')	-4.4776	0.90305	-8.6121	-8.5601	-8.6498	3.727	0.19655	0.19655	3.8376
('GSK461364 17', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: HCC202', 'clCenterSpecificID: 50214')	-4.4776								6.622
('GSK461364 18', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: HCC38', 'clCenterSpecificID: 50216')	-4.4776	0.9483	-7.5136	-7.4139	-7.5675	3.787	0.28925	0.28925	5.5548
('GSK461364 19', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: HCC70', 'clCenterSpecificID: 50219')	-4.4776	0.8008	-7.0721	-5.137	-7.5055	2.2167	0.25175	0.35325	6.3285
('GSK461364 20', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: Hs 578T', 'clCenterSpecificID: 50238')	-4.4776	0.9074	-7.7706	-7.634	-7.8504	2.563	0.2968	0.2968	5.2331
('GSK461364 21', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: MB 157', 'clCenterSpecificID: 50324')									
('GSK461364 22', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: MDA-MB-134-VI', 'clCenterSpecificID: 50327')	-4.4776	0.79865	-4.7865	-4.6231	-4.9107	3.9995	0.015855	0.20888	7.6944
('GSK461364 23', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: MDA-MB-157', 'clCenterSpecificID: 50328')	-4.4776	0.9444	-9.0436	-8.9391	-9.061	2.636	0.234	0.234	3.5893
('GSK461364 24', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: MDA-MB-175-VII', 'clCenterSpecificID: 50329')	-4.4776	0.7103	-4.6478	-4.6477	-4.9999	1.767	1.02e-12	0.3335	7.1799
('GSK461364 25', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: MDA-MB-361', 'clCenterSpecificID: 50331')	-4.4776	0.77	-8.2296	-5.2691	-8.4707	3.999	0.4675	0.4675	5.9231
('GSK461364 26', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: MDA-MB-436', 'clCenterSpecificID: 50333')	-4.4776	0.8119	-7.8636	-7.3063	-7.8969	2.323	0.3729	0.3729	6.0263
('GSK461364 27', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: MDA-MB-453', 'clCenterSpecificID: 50334')	-4.4776	0.76745	-8.1451	-6.1011	-8.1526	2.7515	0.48185	0.48185	6.1418
('GSK461364 28', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: MDA-MB-468', 'clCenterSpecificID: 50335')	-4.4776								3.865
('GSK461364 29', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: T47D', 'clCenterSpecificID: 50541')	-4.4776	0.7866	-4.9834	-4.9834	-6.1129	1.879	1.93e-16	0.10078	7.2108
('GSK461364 30', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: UACC-812', 'clCenterSpecificID: 50556')	-4.4776	0.8943	-4.8642	-4.8641	-5.0359	3.712	3.76e-14	0.035428	8.8806
('GSK461364 31', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: UACC-893', 'clCenterSpecificID: 50557')	-4.4776	0.7393	-8.2951	-8.0674	-8.3748	3.996	0.4309	0.4309	5.683
('GSK461364 32', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: ZR-75-1', 'clCenterSpecificID: 50574')	-4.4776								7.9012
('GSK461364 33', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: 184B5', 'clCenterSpecificID: 50576')	-4.4776	0.73025	-5.5881	-5.5882	-6.3658	0.4307	3.02e-12	0.2496	6.7499
('GSK461364 34', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: HCC1187', 'clCenterSpecificID: 50578')	-4.4776	0.8591	-7.6736	-7.5666	-7.7666	3.999	0.3118	0.3118	5.6299
('GSK461364 35', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: MCF 10A', 'clCenterSpecificID: 50583')	-4.4776	0.95795	-7.4301	-7.3739	-7.4378	3.314	0.1744	0.1744	5.0596
('GSK461364 36', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: MCF 10F', 'clCenterSpecificID: 50584')	-4.4776	0.8285	-6.0156	-6.016	-7.2051	0.4255	1.9e-12	0.23917	6.1498
('GSK461364 37', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: SUM1315MO2', 'clCenterSpecificID: 51081')	-4.4776	0.9468	-7.5016	-7.3301	-7.6637	2.427	0.3088	0.3088	5.6429
