	('seedingDensity 0', 'datapointUnit: ')	('iC50 1', 'datapointUnit: uM')	('emaxIC 2', 'datapointUnit: ')	('aUCIC 3', 'datapointUnit: ')	('curveFitIC 4', 'datapointUnit: ')	('r2Ic 5', 'datapointUnit: ')	('eC50IC 6', 'datapointUnit: uM')	('einfIC 7', 'datapointUnit: ')	('hillCoefficientIC 8', 'datapointUnit: ')	('gR50 9', 'datapointUnit: uM')	('gRmax 10', 'datapointUnit: ')	('aUCGR 11', 'datapointUnit: ')	('curveFitGR 12', 'datapointUnit: ')	('r2Gr 13', 'datapointUnit: ')	('eC50GR 14', 'datapointUnit: uM')	('gRinf 15', 'datapointUnit: ')	('hillCoefficientGR 16', 'datapointUnit: ')
('555655 0', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	156.25	0.1519	0.31932	0.39667		0.6193	0.0644	0.32616	1.2302	0.065	-0.12981	0.63178		0.6437	0.0749	-0.10197	1.317
('555656 1', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	312.5	0.4509	0.27539	0.3024		0.9794	0.2457	0.27325	1.3021	0.2018	-0.2296	0.50915		0.9843	0.2687	-0.23074	1.3254
('555657 2', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	625.0	0.2192	0.26778	0.40643		0.938	0.099	0.24704	0.85691	0.0695	-0.22741	0.66023		0.9391	0.1098	-0.24928	0.88373
('555658 3', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	1250.0	0.1798	0.24632	0.38998		0.993	0.1022	0.24651	1.2012	0.0842	-0.27877	0.63827		0.9948	0.1223	-0.28141	1.1945
('555659 4', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	2500.0	0.1816	0.22843	0.39467		0.9869	0.1092	0.22852	1.2011	0.0998	-0.21957	0.59898		0.9911	0.1392	-0.22964	1.1347
('555660 5', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	5000.0	0.2805	0.24429	0.35822		0.9951	0.1563	0.2404	1.1203	0.1732	-0.10265	0.49273		0.9959	0.2149	-0.12682	1.0475
('555661 6', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10049', 'smallmolecule_smLincsID: LSM-1049', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: PLX-4720', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	156.25	inf	1.05	0.039182		0.0284	inf	1.05	0.0	inf	1.05	0.07014		0.0392	inf	1.05	0.0
('555662 7', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10049', 'smallmolecule_smLincsID: LSM-1049', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: PLX-4720', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	312.5	inf	1.0407	-0.04325		-7.967	inf	1.0407	0.0	inf	1.0277	-0.041737		-5.0111	inf	1.0277	0.0
('555663 8', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10049', 'smallmolecule_smLincsID: LSM-1049', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: PLX-4720', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	625.0	inf	0.93007	-0.036617		-0.2052	inf	0.93007	0.0	inf	0.92785	-0.038335		-0.2419	inf	0.92785	0.0
('555664 9', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10049', 'smallmolecule_smLincsID: LSM-1049', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: PLX-4720', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	1250.0	inf	0.88328	-0.027281		0.3821	inf	0.88328	0.0	25.8741	0.82934	-0.027755		0.5901	32.2082	-0.99442	5.0
('555665 10', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10049', 'smallmolecule_smLincsID: LSM-1049', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: PLX-4720', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	2500.0	inf	0.8932	-0.025982		0.3153	inf	0.8932	0.0	26.6745	0.85135	-0.02351		0.5115	33.1721	-0.98716	5.0
('555666 11', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10049', 'smallmolecule_smLincsID: LSM-1049', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: PLX-4720', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	5000.0	30.4154	0.86161	-0.0057609		0.6868	27.315	0.20792	5.0	27.4593	0.83766	-0.0042077		0.7273	28.3756	-0.08919	5.0
('555667 12', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	156.25	inf	1.05	0.267		0.1891	inf	1.05	0.0	inf	0.99811	0.48972		0.2058	inf	0.99811	0.0
('555668 13', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	312.5	inf	0.63098	0.27552		0.8126	0.0296	0.64055	4.9997	0.0478	0.44258	0.42253		0.7762	0.0293	0.45626	4.9581
('555669 14', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	625.0	inf	0.79345	0.20603		0.7228	0.0495	0.70811	1.6495	0.0363	0.63257	0.50657		0.5767	0.0274	0.37674	4.9999
('555670 15', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	1250.0	inf	0.59209	0.27043		0.9432	0.1193	0.57541	2.4314	0.0996	0.061903	0.65268		0.9143	0.0981	0.013765	1.9095
('555671 16', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	2500.0	inf	0.53333	0.27872		0.9651	0.1215	0.52684	1.3859	0.1255	0.092692	0.56052		0.9546	0.111	0.072856	1.2862
('555672 17', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	5000.0	16.6145	0.49016	0.31723		0.9227	0.0839	0.47282	0.5507	0.4297	0.29674	0.42499		0.9285	0.103	0.26995	0.54354
('555673 18', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	156.25	inf	1.05	0.011877		-0.0071	inf	1.05	0.0	inf	1.05	0.032929		-0.0116	inf	1.05	0.0
('555674 19', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	312.5	inf	1.05	-0.047507		-65.5018	inf	1.05	0.0	inf	1.05	-0.05		-inf	inf	1.05	0.0
('555675 20', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	625.0	inf	1.05	-0.0085799		-0.0479	inf	1.05	0.0	inf	1.05	-0.0023561		0.0561	inf	1.05	0.0
('555676 21', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	1250.0	inf	0.82151	0.018919		0.361	inf	0.82151	0.0	inf	0.76294	0.036379		0.4077	inf	0.76294	0.0
('555677 22', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	2500.0	inf	0.44085	0.081332		0.7033	2.847	0.64679	5.0	6.6534	0.18771	0.12256		0.6917	2.945	0.4915	5.0
('555678 23', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	5000.0	5.1123	0.3213	0.15127		0.9625	3.8879	0.31632	3.6574	3.9346	0.047062	0.20073		0.9742	3.8451	0.054329	5.0
('555679 24', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	156.25	0.011	0.31038	0.3869		0.9485	0.0043	0.40238	1.7559	0.0041	-0.27529	0.70977		0.9333	0.0046	-0.098469	1.6543
('555680 25', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	312.5	0.0035	0.29446	0.4871		0.942	0.0012	0.36058	1.173	0.0012	-0.15483	0.77039		0.9429	0.0013	-0.031376	1.1319
('555681 26', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	625.0	0.0113	0.42053	0.37671		0.9537	0.0019	0.46316	1.4557	0.0012	-0.36662	0.92042		0.9688	0.0016	-0.2756	1.4872
('555682 27', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	1250.0	0.0036	0.33034	0.44918		0.9688	0.0014	0.39213	1.6755	0.0009	-0.50169	1.0377		0.9722	0.0012	-0.37213	1.9234
('555683 28', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	2500.0	0.0044	0.35614	0.41732		0.9748	0.0022	0.39478	2.1797	0.0018	-0.26064	0.83207		0.9788	0.0021	-0.19087	2.0313
('555684 29', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	5000.0	0.0065	0.35985	0.42198		0.982	0.0027	0.37393	1.553	0.0035	0.074658	0.59502		0.9839	0.003	0.10108	1.5593
('555685 30', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	156.25	0.009	0.3976	0.48671		0.9704	0.0043	0.44558	2.9647	0.0042	-0.11232	0.88648		0.9704	0.0042	-0.0093596	3.1275
('555686 31', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	312.5	0.0114	0.33377	0.56547		0.9834	0.0033	0.34657	0.94872	0.0035	-0.081238	0.89864		0.9815	0.0039	-0.054717	0.95781
('555687 32', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	625.0	0.0443	0.35788	0.46479		0.9508	0.0082	0.40792	0.99986	0.0044	-0.48994	1.1099		0.9464	0.0072	-0.38078	1.1514
('555688 33', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	1250.0	0.0113	0.33834	0.56413		0.9904	0.0041	0.34555	1.1539	0.002	-0.49373	1.289		0.9938	0.0036	-0.47406	1.1677
('555689 34', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	2500.0	0.0135	0.29467	0.56221		0.9866	0.0054	0.32742	1.1646	0.0035	-0.38915	1.1077		0.9888	0.0053	-0.32041	1.2001
('555690 35', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	5000.0	0.0126	0.31948	0.54863		0.9928	0.0055	0.3504	1.448	0.0068	0.0011235	0.78222		0.9918	0.0063	0.057286	1.4268
('555691 36', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10250', 'smallmolecule_smLincsID: LSM-6348', 'smallmolecule_smCenterSampleID: 4', 'smallmolecule_smName: Etoposide', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	156.25	5.3058	0.42166	0.19424		0.7246	2.2145	0.41504	2.0284	2.7275	0.067011	0.31219		0.7102	2.5753	0.059303	2.1983
