	('totalCellCountBeforeTreatment 0',)	('totalCellCountAfterTreatment 1',)	('totalControlCellCount 2',)	('relativeCellCount 3',)	('normalizedGrowthRateInhibitionValue 4',)
('(R)- Roscovitine 0', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: J06')	1235.0	4760.0	4119.0	1.1556	1.1736
('(R)- Roscovitine 1', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: J06')	1235.0	4880.0	4356.0	1.1202	1.1289
('(R)- Roscovitine 2', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: J06')	1235.0	4855.0	4326.0	1.1222	1.1316
('(R)- Roscovitine 3', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: J05')	1235.0	4144.0	4119.0	1.006	1.0069
('(R)- Roscovitine 4', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: J05')	1235.0	4195.0	4356.0	0.96298	0.95893
('(R)- Roscovitine 5', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: J05')	1235.0	5017.0	4326.0	1.1596	1.1707
('(R)- Roscovitine 6', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: J04')	1235.0	3699.0	4119.0	0.89799	0.87989
('(R)- Roscovitine 7', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: J04')	1235.0	3684.0	4356.0	0.84567	0.82386
('(R)- Roscovitine 8', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: J04')	1235.0	3984.0	4326.0	0.92085	0.91085
('(R)- Roscovitine 9', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: J03')	1235.0	3327.0	4119.0	0.80768	0.76864
('(R)- Roscovitine 10', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: J03')	1235.0	3514.0	4356.0	0.80665	0.77707
('(R)- Roscovitine 11', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: J03')	1235.0	3740.0	4326.0	0.86445	0.84521
('(R)- Roscovitine 12', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: J02')	1235.0	2738.0	4119.0	0.66469	0.58101
('(R)- Roscovitine 13', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: J02')	1235.0	3270.0	4356.0	0.75064	0.70811
