	('PC1Loading 0',)	('PC2Loading 1',)
(' 0', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: pMEK(S217/221)')	2.9197	-1.0072
(' 1', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: pERK(T202/Y204)')	7.4314	-1.2107
(' 2', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: p-p90RSK(S380)')		
(' 3', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: p-p90RSK(T573)')	-0.059159	0.10315
(' 4', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: p-AKT(T308)')	0.072698	-0.43501
(' 5', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: p-AKT(S473)')	-0.2282	-0.58166
(' 6', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: p-mTOR(S2448)')		
(' 7', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: p-p70S6K(T421/S424)')	0.45992	-0.41066
(' 8', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: p-p70S6K(T389)')		
(' 9', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: p-S6(S235/236)')	1.4146	-0.44037
(' 10', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: p-AMPK(T172)')	-0.18447	-0.16975
(' 11', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: p-JNK(T183/Y185)')	0.3713	-0.99243
(' 12', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: Total c-Jun')	0.54181	0.042445
(' 13', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: p-cJun(S63)')		
(' 14', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: p-P38(T180/Y182)')	0.41981	-0.31632
(' 15', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: p-HSP27(S82)')		
(' 16', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: p-NFKB(S536)')	0.4935	-0.089386
(' 17', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: Bim')	-0.028015	-0.10082
(' 18', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: cPARP')	0.35603	-0.28605
(' 19', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: p-Histone H3(S10)')	-0.59038	0.58833
(' 20', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: p27 Kip1')	0.10111	-0.069375
(' 21', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: pMEK(S217/221)')	2.9092	-1.1932
(' 22', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: pERK(T202/Y204)')	6.853	0.56211
(' 23', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: p-p90RSK(S380)')		
(' 24', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: p-p90RSK(T573)')	-0.50929	-0.16568
(' 25', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: p-AKT(T308)')	-0.34603	-0.058054
(' 26', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: p-AKT(S473)')	-0.89262	0.16765
(' 27', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: p-mTOR(S2448)')		
(' 28', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: p-p70S6K(T421/S424)')	0.48333	-0.35367
(' 29', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: p-p70S6K(T389)')		
(' 30', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: p-S6(S235/236)')	2.7065	-0.68903
(' 31', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: p-AMPK(T172)')	-0.53619	-0.098927
(' 32', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: p-JNK(T183/Y185)')	0.0097809	-0.94781
(' 33', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: Total c-Jun')	2.0154	-0.30253
(' 34', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: p-cJun(S63)')		
